Which country ? ,Which education institution ? ,Year ? ,What is the course title ? ,What are the course prerequisites ? ,What is the course description ?,What is the course  content/topics?,What are the course outcomes/objectives?,Hardware or Software tools used in the course ? ,Textbook/references used in the course ? ,Teaching method ? ,What are assessment methods ? 
United States,"California State University, Chico",2013-01-01,Introduction to ARTIFICIAL INTELLIGENCE,"Algorithms & Data Structures
Discrete Math","An introduction to the basic principles, techniques, and applications of Artificial
Intelligence. Coverage includes knowledge representation, logic, inference, problem solving, search
algorithms, game theory, perception, learning, planning, and agent design. Students will experience
programming in AI language tools. Potential areas of further exploration include expert systems, neural
networks, fuzzy logic, robotics, natural language processing, and computer vision.",not mentioned,"Upon successful completion of this course, the student shall be able to:
1) Demonstrate fundamental understanding of the history of artificial intelligence (AI) and its
foundations.
2) Apply basic principles of AI in solutions that require problem solving, inference, perception,
knowledge representation, and learning.
3) Demonstrate awareness and a fundamental understanding of various applications of AI
techniques in intelligent agents, expert systems, artificial neural networks and other machine
learning models.
4) Demonstrate profciency developing applications in an 'AI language', expert system shell, or data
mining tool.
5) Demonstrate profciency in applying scientifc method to models of machine learning.
6) Demonstrate an ability to share in discussions of AI, its current scope and limitations, and societal
implications.
",lisp,"Artifcial Intelligence: A Modern Approach
Third Edition",Lecture based learning,Short Quizes;Assignments;Final Exam;Project
India,Apponix Technologies Institute,,Artificial Intelligence,,not mentioned,"1. Decoding Artificial Intelligence
• Decoding Artificial Intelligence
• Meaning, Scope, and Stages Of Artificial Intelligence
• Three Stages of Artificial Intelligence
• Applications of Artificial Intelligence
• Image Recognition
• Applications of Artificial Intelligence - Examples
• Effects of Artificial Intelligence on Society
• Supervises Learning for Telemedicine
• Solves Complex Social Problems
• Benefits Multiple Industries
• Key Takeaways
2. Fundamentals of Machine Learning and Deep
Learning
• Fundamentals Of Machine Learning and Deep Learning
• Meaning of Machine Learning
• Relationship between Machine Learning and Statistical Analysis
• Process of Machine Learning
• Types of Machine Learning
• Meaning of Unsupervised Learning
• Meaning of Semi-supervised Learning
• Algorithms of Machine Learning
• Regression
• Naive Bayes

Naive Bayes Classification
• Machine Learning Algorithms
• Deep Learning
• Artificial Neural Network Definition
• Definition of Perceptron
• Online and Batch Learning
• Key Takeaways

3. Machine Learning Workflow
• Learning Objective
• Machine Learning Workflow
• Get more data
• Ask a Sharp Question
• Add Data to the Table
• Check for Quality
• Transform Features
• Answer the Questions
• Use the Answer
• Key Takeaways
4. Performance Metrics
• Performance Metrics
• Need For Performance Metrics
• Key Methods Of Performance Metrics
• Confusion Matrix Example
• Terms Of Confusion Matrix
• Minimize False Cases
• Minimize False Positive Example
• Accuracy
• Precision
• Recall Or Sensitivity
• Specificity
• F1 Score

",,,,not mentioned,not mentioned
United States,Harvard University,,Introduction to Artificial Intelligence with Python,prior programming experience in Python,"This course explores the concepts and algorithms at the foundation of modern artificial intelligence, diving into the ideas that give rise to technologies like game-playing engines, handwriting recognition, and machine translation. Through hands-on projects, students gain exposure to the theory behind graph search algorithms, classification, optimization, machine learning, large language models, and other topics in artificial intelligence as they incorporate them into their own Python programs. By course’s end, students emerge with experience in libraries for machine learning as well as knowledge of artificial intelligence principles that enable them to design intelligent systems of their own.","graph search algorithms
adversarial search
knowledge representation
logical inference
probability theory
Bayesian networks
Markov models
constraint satisfaction
machine learning
reinforcement learning
neural networks
natural language processing",,python,,Online course,not mentioned
United States,Worcester Polytechnic Institute,,Introduction to Artificial Intelligence,,"This is an introductory graduate AI course.  During the semester we will cover general knowledge representation techniques and problem solving strategies. Topics will include search, intelligent agents, game playing, rule-based systems, logic programming, frames(or semantic networks), planning, and uncertain reasoning. Prerequisites: A familiarity with data structures and their analysis (Big O) and a recursive high-level language. Knowledge of LISP is an advantage.","search, intelligent agents, game playing, rule-based systems, logic programming, frames(or semantic networks), planning, and uncertain reasoning.",,lisp,"Stuart Russell and Peter Norvig, Artificial Intelligence: A Modern Approach, Prentice Hall 2003. 2nd Edition  Required Text.
Paul Graham, ANSI Common Lisp, Prentice-Hall, 1995 is a great Lisp book, but doesn't have an AI-focus like W&H (below). ",Lecture based learning,Short Quizes;Assignments;Final Exam;midterm exam
United States,University of Illinois,2021-01-01,Artificial Intelligence,"This course assumes that you have taken data structures (CS 225) and therefore, by transitivity, Discrete Structures and Calculus I. A probability and/or statistics course (e.g., CS 361, ECE 313) is strongly recommended. This course is intended to be a first course in AI. If you have already taken a specialized AI course (e.g. CS 446), be prepared to review some familiar material.

","This course provides an introductory survey of concepts and techniques in artificial intelligence. Intelligence is the ability to plan, learn, and communicate; AI is the creation of machines that do these things. We will also look at applications including games, robotics, computer vision, and natural language understanding.

","Search
A*
Heuristics
Probability
Naive Bayes
Classifiers
Perceptron
Logistic Regression
Back-Propagation
Autograd (Pytorch tutorial)
Bayes Nets
Hidden Markov Model. HMMs
Viterbi Algorithm
Vector semantics
Minimax Games
Alpha-Beta Search
Game Theory
Markov Decision Processes
Model-Based RL
Model-Free RL
AI Ethics
Computer Vision",,python,"The textbook is Russell and Norvig, Artificial Intelligence: A Modern Approach, fourth edition.

",Collaborative or Group-based learning;Seminar;Online course,Final Exam;midterm exam;Project;Presentation
Sweden,Örebro University,2018-01-01,Introduction to Artificial Intelligence,,"Second-cycle courses and study programmes shall involve the acquisition of specialist knowledge,
competence and skills in relation to first-cycle courses and study programmes, and in addition to
the requirements for first-cycle courses and study programmes shall
- further develop the ability of students to integrate and make autonomous use of their knowledge
- develop the students' ability to deal with complex phenomena, issues and situations, and
- develop the students' potential for professional activities that demand considerable autonomy, or
for research and development work.","The course will cover the following topics:
- what is Artificial Intelligence?
- problem modelling and declarative approach to problem solving
- problem solving using uninformed or heuristic search
- heuristic optimization techniques and local search
- basic approaches to constraint satisfaction and intelligent planning
- semantic representation av information and knowledge, with basic reasoning
- applications of Artificial Intelligence
- ethical questions in relation Artificial Intelligence.","Knowledge and comprehension
After the completed course the student shall know and unterstand the principles and basic
assumptions behind Artificial Intelligence, together with selecting and applying different intelligent
algorithms.
Proficiency and ability
After completed course the student shall be able to model simple problems for the application of
intelligent problem solving methods considering as well the problem context.
Values and attitude
After completed course the student shall be able to evaluate the potential and applicability of basic
methods of Artificial Intelligence in a given industrial context as well as have an understanding for
the possibilities and limitations of the different problem modelling approaches and algorithms.",,,Lecture based learning;Online course,Assignments;Presentation;Report
Saudi Arabia,Al Imam Mohammad ibn Saud Islamic University,,Artificial Intelligence,Design and Analysis of Algorithms,"In this course we will cover in depth the central topics of Artificial Intelligence. Namely,
a large part of this course will be devoted to problem solving and knowledge
representation and reasoning. Some selected topics will also be covered such as
reasoning under uncertainty and machine learning","- Introduction (Artificial Intelligence & Agents)
- States & Search (uninformed, informed, adversial search [games])
- Features & Constraints
- Knowledge Based Systems
- Representing & Reasoning
- Propositions & Inference (including Predicate Logic, prolog)
- Reasoning under Uncertainties
- Learning & Planning (includes Machine Learning)
- Projects
- Present and Future of AI","Students will learn the basic skills needed in AI, namely, Searching, Reasoning,
Learning, Planning, Knowledge Representation & Intelligent Agent.

Students will be able to use, develop, and maintain Intelligent systems in many real
world applications.

Students should be familiarized with advanced topics in AI using appropriate tools &
Programming languages.

The students will have clear understanding about the state of the art in AI, the key
issues in AI and which way AI is headed.",,"- Artificial Intelligence: A Modern Approach, S. Russell and P. Norvig, 3rd edition,
Prentice Hall, 2009.
- Artificial Intelligence: Foundations of Computational Agents, David Poole et al, 2010",Lecture based learning,Final Exam
United States,Shaw University,,Artificial Intelligence,,"This course is concerned with finding an effective way to understand and apply
intelligent problem solving, planning, and communication skills to a wide range
of practical problems. In spite of the variety of problems addressed in artificial
intelligence research, a number of important features will emerge:
The use of computer to do reasoning, pattern recognition,
learning, or some other form of inference.

A focus on problems that do not respond to algorithmic
solutions.

A concern with problem solving using inexact, missing, or
poorly defined information and the use of representational
formalisms that enable the programmer to compensate for these
problems.

Reasoning about the significant qualitative features of a
sitution.


An attempt to deal with issues of semantic meaning as well as
syntactic form

Answers that are neither exact nor optimal, but are in some
sense sufficient.

The use of large amounts of domain specific knowledge in
solving problems.

The use of meta level knowledge effect more sophisticated
control of problem solving strategies. 


The course brings you face-to-face with the most fundamental idea of
Artificial Intelligence by why of computer programming strategies: The
two most fundamental concerns of AI are knowledge representation and
search. The first of these addresses the problem of capturing, in a formal
language those things that are suitable for computer manipulation and the
full range of knowledge related techniques required for intelligent
behavior. The second, search, is a problem-solving technique that systematically
explores a space of problem states. 

","Artificial Intelligence
 Its roots and Scope
 Artificial Intelligence as representation and search.
 The predicate Calculus
 Structures and strategies for state space search
 Heuristic search
 Control and implementation of state space search
 Representation and Intelligence
 Knowledge representation
 Strong method problem solving
 Reasoning in uncertain situations
 Machine Learning
 Symbol based Machine learning
 Connectionist Machine learning
 Social and emergent Machine learning
Tools for Symbolic Programming
Simple Expressions
 Data Types
 Procedures
 Reduction Rules and Imperative Programming
 Reasoning About Procedures
 Parameter Passing
 Call-by-Reference
 Call-by-Value, Call-by-Name, and Call-by-Result
 Sub-Programs
 Fundamentals of Subprograms
 Design Issues for Subprograms
 Local Referencing Environments
 Parameter-Passing Methods
 Parameters that are Subprogram Names
 Overloaded Subprograms
 Generic Subprograms
 Separate and Independent Compilation
 Design Issues for Functions
 Accessing Nonlocal Environments
 User-Defined Overload Operators
 Coroutines

Abstract Data Types
 Concept of Abstraction
 Encapsulation
 Parameterized Abstract Data Type 
Concurrency
 Exception Handling

",,"lisp 
prolog
",,Lecture based learning,Short Quizes;Final Exam;Project
,Quickstart platform,,Artificial Intelligence And Machine Learning,calculus,"From autonomous vehicles to chatbots, the applications of artificial intelligence and
machine learning transform global markets and industry. With integrations in healthcare,
finance, technology, e-commerce, education, and beyond, the demand for IT professionals
with artificial intelligence and machine learning competencies continues to grow, along with
earning potential for individuals in the field.
The Artificial Intelligence and Machine Learning bootcamp offers an immersive and
accelerated training platform for the next generation of technical professionals. Over the
course of 23 weeks, you will have access to on-demand courses, complete hands-on lab
assignments, and develop a portfolio highlighting your machine learning skills. This program
incorporates applied learning and culminates in a capstone project that will require you to
solve real-world artificial intelligence (AI) and machine learning (ML) challenges.
To best accommodate your schedule, this flexible online program is available at a part-time,
on-demand pace of 15-25 hours per week. As an online learner, you will develop the essential
skills necessary for various AI/ML roles. You’ll have access to career services from the start of
the program to help you land your next role.","Week 1-2: Insight by Industry Leaders and Introduction to Python and Python Libraries
Designed to help learners decode the mystery of artificial intelligence and its business
applications, this introductory AI course provides an overview of concepts and workflows,
machine learning and deep learning, and performance metrics.
Week 3-4: Introduction to Machine Learning
This practical course targets individuals who have introductory-level Python programming
experience. The course will prepare students to apply efficient, well-known mining models to
make sense of data using Python, one of the most popular programming languages among
data scientists. Topics include data visualization, feature importance and selection,
dimensionality reduction, clustering, and classification. All data sets used in this course are
gathered as live-data or inspired by real-world domains that can benefit from machine
learning.
Week 5-6: First Models and Tests
Explore the concepts of machine learning and understand how it’s transforming the digital
world. Covering an exciting branch of artificial intelligence, this course will provide the skills
you need to become a machine learning engineer and unlock the power of this emerging
field.
Week 7-8: Common Machine Learning Models
This course focuses on the key mathematical concepts students will encounter in the study
of machine learning and is designed to reinforce key concepts students have learned
previously. While not intended as a full, foundational math curriculum, this course will serve
as a refresher for students who have not recently studied math.

Week 9-10: Neural Networks 1
Designed for the future of programming, this course covers the primary disruptors in the tech
industry: machine learning and Python. This course will equip students with an understanding
of the scope and application of machine learning, Python, complex logic and data structures,
and machine learning processing.

This deep learning course with TensorFlow certification training is developed by industry
leaders and aligned with the latest best practices. You’ll master deep learning concepts and
models using Keras and TensorFlow frameworks, and implement deep learning algorithms,
preparing you for a career as deep learning engineer.
Week 11-12: Neural Networks 2

This course focuses on the key mathematical concepts students will encounter in the study
of machine learning and is designed to reinforce key concepts students have learned
previously. While not intended as a full, foundational math curriculum, this course will serve
as a refresher for students who have not recently studied math.

Week 13-14: Natural Language Processing
The Natural Language Processing module covers concepts like statistical machine
translation and neural models, deep semantic similarity models (DSSM), neural knowledge
base embedding, deep reinforcement learning techniques, and more.
Week 15-16: AWS – SQL for Machine Learning
The course will cover the foundations of cloud computing and databases using AWS & SQL.
This course will prepare students to deploy their machine learning models in a real-world
context
Week 17-19: Designing and Implementing an Azure AI Solution
This course will prepare students to create Azure AI solutions. Specifically, this course will
cover how to build a customer support chat Bot using artificial intelligence from the Microsoft
Azure platform, including language comprehension and pre-built AI functionality in the Azure
Cognitive Services
Week 20-23: Capstone Project: Autonomous Cars
As part of this capstone project, students will design and train an artificial intelligence model
to estimate the speed of a car based on dash cam footage and detect and recognize traffic
signs. Students will apply course concepts and use a pretrain network to achieve project
goals.
",,"python
numpy
pandas
matplotlib
seaborn
sql
aws
",,Project based learning(ie. team project);LAB demos;Online course,Project
United States,Syracuse University,2020-01-01,Introduction to Artificial Intelligence,Knowledge of Python,"This course will introduce the basic ideas and techniques underlying the design of intelligent agents to enable them to act and ""think"" like humans. The topics covered include problem-solving via search, game playing, logical and probabilistic reasoning, machine learning (decision trees, linear models, neural networks, and reinforcement learning). A key aspect of this course is the presence of several hands-on projects that will help to concertize the fundamental methods studied.
By the end of this course, you will have built autonomous agents that efficiently make decisions in fully informed, partially observable, and adversarial settings. Your agents will draw inferences in uncertain environments and optimize actions for arbitrary reward structures. Your machine learning algorithms will classify handwritten digits and photographs. The techniques you learn in this course apply to a wide variety of artificial intelligence problems and will serve as the foundation for further study in any application area you choose to pursue.

The course will have a hybrid structure: Synchronous online and residential. What does this mean? Lectures will be broadcast during class time. You can either attend the class physically or virtually (see below for tools and restrictions). All materials will be made available for later consultation.","The topics covered include problem-solving via search, game playing, logical and probabilistic reasoning, machine learning (decision trees, linear models, neural networks, and reinforcement learning)


Search

Intro & Course Overview
Uniformed Search
A* Search and Heuristics
Local Search
CSP I(Constraint Satisfaction Problem)
CSP II(Constraint Satisfaction Problem)
Game Trees: Minimax
Game Trees: Expectimax

Uncertainty

Review of Probability
Bayesian Networks I
Bayesian Networks II
Bayesian Networks III
Bayesian Networks IV
Hidden Markov Models
Markov Decision Processes I
Markov Decision Processes II

Learning

Reinforcement Learning I
Reinforcement Learning II
Naive Bayes
Decision Trees
Neural Networks I
Neural Networks II
Deep Learning I
Deep Learning II

",,python," Artificial Intelligence, A Modern Approach (3rd edition) by Russell and Norvig and published by Prentice Hall (ISBN: 0136042597).
",Hybrid learning(face-to-face and online ),Short Quizes;Assignments;Final Exam;Project
United States,University of Chicago,2019-01-01,Artificial Intelligence,none,"It is hard to name a sector that will not be dramatically affected by artificial intelligence
(or machine learning), from the private sector to government and nonprofits. There are
many excellent courses that teach you the mechanics behind these innovations --
helping you develop an engineering skill set. This course takes a different approach. It
is aimed at people who want to deploy these tools, either in business or policy, whether
through start-ups or within a large organization. While this requires some knowledge of
how these tools work, that is only a small part of the equation, just as knowing how an
engine works is a small part of understanding how to drive. What is really needed is an
understanding of what these tools do well, and what they do badly. This course focuses
on giving you a functional, rather than mechanistic, understanding. By the end, you
should be an expert at identifying ideal (and problematic) use-cases and thereby wellplaced to create new products, businesses and policies that use artificial intelligence.",not mentioned,"More generally by the end of the course, students will have:
A framework for thinking about and finding new opportunities to apply AI
A series of “checklists” to help think through key questions like is this a feasible
project involving AI, or should I worry about bias in the algorithm in this application
An understanding of signals, or useful data which exists in the environment, that
people don’t typically know to look for
Both an “entrepreneurial” as well as a “systems-wide” way of thinking about AI",,,Collaborative or Group-based learning;Lecture based learning,Assignments;Project
United States,Columbia Business School,2022-01-01,ARTIFICIAL INTELLIGENCE,"Students should be familiar with probability theory, matrix
algebra, and basic concepts/models in machine learning. ","This course is the second of two courses that will
introduce business students to the exciting and growing literature in
machine learning / artificial intelligence, with a focus on applications
in finance and marketing. We will cover advanced topics in neural
networks, deep learning and artificial intelligence and their potential
applications in the areas of finance and marketing. ","(Neural Networks)
• Introduction to Neural Networks
• Practical Issues
• Deep Feedforward Networks

 (Regularization & Optimization)
• Regularization for Deep Learning
• Optimization for Deep Learning

Introduction to Convolutional Networks

Introduction to Recurrent Networks
• Long Short Term Memory Models and Gated RNNs
• Deep Learning Practical Issues and Applications


Introduction to Autoencoders
• Stochastic, Denoising and Sparse Autoencoders
• Greedy Layer-Wise Pretraining

Introduction to Reinforcement Learning
• Markov Decision Processes and Bellman Equations
• Value Functions and Policies
• Q-Learning and Extensions


",,"keras
python","“Deep Learning” by Goodfellow, Bengio and Courville",Lecture based learning;Flipped classroom,Assignments;Final Exam;Report
United States,Purdue University,2024-01-01,Introduction to Artificial Intelligence,"linear algebra
python
probability
","This course will provide an introduction to artificial intelligence (AI), which is broadly defined as
any method that enables intelligent behavior in computers. Because the AI field is so fast and
rapidly expanding, this course will not be comprehensive but aims to provide some basic
introductions to AI topics. Topics may include dimensionality reduction, machine learning, deep
learning, generative models, natural language processing, computer vision, and Markov decision
processes. The course will cover technical concepts, intuitions, and algorithms.","
Introduction to AI
Principal Components Analysis (PCA)
Review of linear algebra
Broadcasting rules in NumPy (and PyTorch)

Principal Components Analysis (PCA)
 PCA continued
PCA demo


Intro. to ML
Principal Components Analysis (PCA) PCA generalization demo
K-nearest neighbors (KNN) and evaluating ML methods
KNN Demo


Linear and Logistic Regression
Gradient Descent
Gradient descent demo

Loss functions and regularization
Basics of deep learning
PyTorch and automatic differentiation

Basics of convolutional neural networks (CNN)
Convolutions demo
CIFAR-10 demo with BatchNorm and residual networks

CNNs continued
Recurrent Neural Networks (RNN)
Demo of character-level RNN classification

RNNs continued
Demo of character-level RNN generation
Demo of vanishing and exploding gradients

Attention and Transformers
Demo of seq-2-seq language translation
Attention and transformers continued

Review of probability
Guest lecture on Generative AI
Text2Image demo
Image Reward demo

Density Estimation
Autoencoders and VAEs

Diffusion Models continued
Introduction to Reinforcement Learning

Multi-armed Bandits
Demo of bandit algorithms
Markov Decision Processes

Reinforcement Learning Algorithms","A student who successfully fulfills the course requirements will have demonstrated:
a practical and theoretical understanding of machine learning techniques.
an acquaintance with the fundamental difficulties involved in designing intelligent
programs.
knowledge of key work in a broad range of artificial intelligence subareas.
an ability to write programs for AI techniques to solve problems.
",python,,Lecture based learning,Short Quizes;Assignments;Final Exam;midterm exam
United States,Khoury College of Computer Sciences,2021-01-01,Foundations of Artificial Intelligence,"python
probability
linear algebra
",This course will introduce the student to the fundamentals of artificial intelligence,"Search
Uninformed search
Informed search
Adversarial search
Constraint satisfaction
Decision making under uncertainty
Probability refresher
Markov Decision Processes
Reinforcement Learning
Graphical Models
Bayes Networks
Hidden Markov Models
Machine Learning
Supervised learning
Deep learning

Introduction
Agents, Problem Domains, and Search
Uninformed Search
Informed Search
Constraint Satisfaction Problems (CSP)
Adversarial Search
Uncertainty and Probability
Graphical Models
Bayes Nets
Inference
Markov Models
Markov Decision Processes (MDPs)
Planning with MDPs
Online Planning in MDPs
Reinforcement Learning
Introduction to Machine Learning
Supervised Learning
More Supervised Learning
Deep Learning
Deep Reinforcement Learning",,python,"Artificial Intelligence: A Modern Approach, 3rd Ed., Russell and Norvig (not 4th edition yet!)

",Lecture based learning,Short Quizes;Assignments;Project;Presentation
India,Jawaharlal Nehru Technological University,2016-01-01,Advances in Artificial Intelligence,,not mentioned,"
Introduction: What is AI? Foundations of AI, History of AI, Agents and environments, The
nature of the Environment, Problem solving Agents, Problem Formulation, Search Strategies

Knowledge and Reasoning: Knowledge-based Agents, Representation, Reasoning and Logic,
Prepositional logic, First-order logic, Using First-order logic, Inference in First-order logic,
forward and Backward Chaining

Learning: Learning from observations, Forms of Learning, Inductive Learning, Learning
decision trees, why learning works, Learning in Neural and Belief networks

Practical Natural Language Processing: Practical applications, Efficient parsing, Scaling up the
lexicon, Scaling up the Grammar, Ambiguity, Perception, Image formation, Image processing
operations for Early vision, Speech recognition and Speech Synthesis


Robotics: Introduction, Tasks, parts, effectors, Sensors, Architectures, Configuration spaces,
Navigation and motion planning, Introduction to AI based programming Tools

",,,"Stuart Russell, Peter Norvig: “Artificial Intelligence: A Modern Approach”,2nd Edition,
Pearson Education, 2007",not mentioned,not mentioned
United States,University of Notre Dame,2000-01-01,Introduction to Artificial Intelligence,,"The philosophical base that makes up Artificial Intelligence today.  Development of various representations commonly used.  A study of knowledge bases including several applications and expert systems.  A close look at genetic algorithms, a new area of Artificial Intelligence.
",not mentioned,,,"Stuart Russell and Peter Norvig, Artificial Intelligence: A Modern Approach, Prentice Hall, 1995.

Herbert A. Simon, The Sciences of the Artificial, MIT Press, 3rd Edition (3rd printing), 1999.

",Collaborative or Group-based learning;Lecture based learning,Assignments;Final Exam;midterm exam;Project
India,Besant Technologies,2021-01-01,Artificial intelligence,,"Artificial intelligence course in Bangalore will make you an expert in Deep Learning, Machine Learning,
Chabot, Neural Networks, Reinforcement Learning with Live Projects. This Course helps you to Create AI
for Real time Applications with Combination of Data Science, Machine Learning and Deep Learning with
Hands-on Demo Classes. Learn how to build and implement the AI model from the Basic to Advanced
level from this AI Certification Training Course in Bangalore and become an Artificial intelligence
engineer.
This Comprehensive Course will Covers the AI Deep Learning with Tensorflow and Keras from the
Scratch with Mini Project work for better understanding. You will Gain Additional knowledge on
Tableau, SQL, R and Power BI Tools and Techniques for Data Analysis and Visualization along with this
AI Training in Bangalore.","Introduction to Data Science 
What is Data Science?
What is Machine Learning?
What is Deep Learning?
What is AI?
 Data Analytics & it’s types


Introduction to Python 
What is Python?
Why Python?
Installing Python

Python IDEs
Jupyter Notebook Overview
Module 3: Python Basics (Duration-5hrs)
Python Basic Data types
Lists
Slicing
IF statements
Loops
Dictionaries
Tuples
Functions
Array
Selection by position & Labels

pandas
numpy
scikit
matplotlib

Importing Data 
Reading CSV files
Saving in Python data
Loading Python data objects
Writing data to CSV file


Manipulating Data 
 Selecting rows/observations
Rounding Number
Selecting columns/fields
Merging data
Data aggregation
Data munging techniques

Distance metrics
Euclidean Distance
Manhattan Distance

Outlier analysis
What is an Outlier?
Inter Quartile Range
Box & whisker plot
Upper Whisker
Lower Whisker
Scatter plot
Cook’s Distance


Missing Value treatment
What is NA?
Central Imputation
KNN imputation
Dummification


Correlation
Pearson correlation
positive & Negative correlation


Classification
Confusion Matrix
Precision
Recall
Specificity
F1 Score

MSE
RMSE
MAPE

Linear Regression
Linear Equation
Slope
Intercept
R square value


Logistic regression
ODDS ratio
Probability of success
Probability of failure Bias Variance Tradeoff
ROC curve
Bias Variance Tradeoff

Unsupervised Learning (Duration-4hrs)

K-Means
K-Means ++
Hierarchical Clustering
SVM (Duration-2hrs)

Support Vectors
Hyperplanes
2-D Case
Linear Hyperplane
SVM Kernal (Duration-2hrs)

Linear
Radial
Polynomial
Other Machine Learning algorithms (Duration-10hrs)

K – Nearest Neighbour
Naïve Bayes Classifier
Decision Tree – CART
Decision Tree – C50
Random Forest
Module 10: ARTIFICIAL INTELLIGENCE
AI Introduction 

Perceptron
Multi-Layer Perceptron
Markov Decision Process
Logical Agent & First Order Logic
AL Applications
Module 11: Deep Learning Algorithms 

CNN – Convolutional Neural Network
RNN – Recurrent Neural Network
ANN – Artificial Neural Network
Introduction to NLP 
Text Pre-processing
Noise Removal
Lexicon Normalization
Lemmatization
Stemming
Object Standardization
Text to Features (Feature Engineering) 

Syntactical Parsing
Dependency Grammar
Part of Speech Tagging
Entity Parsing
Named Entity Recognition
Topic Modelling
N-Grams
TF – IDF
Frequency / Density Features
Word Embeddings
Tasks of NLP (Duration-2hrs)

Text Classification
Text Matching
Levenshtein Distance
Phonetic Matching
Flexible String Matching








",,"python
jupyter notebook
pandas
numpy
scikit
matplotlib
",,Online course,not mentioned
